"Subj_ID";"Trial";"Choice";"Losses";"Wins";"Net_Outcome"
"Subj_1";1;1;-200;100;-100
"Subj_1";2;1;-150;100;-50
"Subj_1";3;2;0;100;100
"Subj_1";4;4;-250;50;-200
"Subj_1";5;3;0;50;50
"Subj_1";6;2;0;100;100
"Subj_1";7;1;0;100;100
"Subj_1";8;2;0;100;100
"Subj_1";9;4;0;50;50
"Subj_1";10;2;0;100;100
"Subj_1";11;3;0;50;50
"Subj_1";12;3;0;50;50
"Subj_1";13;1;-300;100;-200
"Subj_1";14;2;0;100;100
"Subj_1";15;2;-1250;100;-1150
"Subj_1";16;4;0;50;50
"Subj_1";17;3;-50;50;0
"Subj_1";18;1;0;100;100
"Subj_1";19;2;0;100;100
"Subj_1";20;4;0;50;50
"Subj_1";21;3;0;50;50
"Subj_1";22;4;0;50;50
"Subj_1";23;2;0;100;100
"Subj_1";24;1;0;100;100
"Subj_1";25;4;0;50;50
"Subj_1";26;1;0;100;100
"Subj_1";27;3;-50;50;0
"Subj_1";28;4;0;50;50
"Subj_1";29;2;0;100;100
"Subj_1";30;1;0;100;100
"Subj_1";31;2;0;100;100
"Subj_1";32;4;0;50;50
"Subj_1";33;1;-250;100;-150
"Subj_1";34;3;-50;50;0
"Subj_1";35;4;0;50;50
"Subj_1";36;2;0;100;100
"Subj_1";37;1;-350;100;-250
"Subj_1";38;2;0;100;100
"Subj_1";39;4;0;50;50
"Subj_1";40;3;0;50;50
"Subj_1";41;1;-300;100;-200
"Subj_1";42;2;0;100;100
"Subj_1";43;4;0;50;50
"Subj_1";44;2;-1250;100;-1150
"Subj_1";45;1;0;100;100
"Subj_1";46;2;0;100;100
"Subj_1";47;4;0;50;50
"Subj_1";48;3;-50;50;0
"Subj_1";49;1;0;100;100
"Subj_1";50;2;0;100;100
"Subj_1";51;4;0;50;50
"Subj_1";52;3;-50;50;0
"Subj_1";53;1;0;100;100
"Subj_1";54;2;0;100;100
"Subj_1";55;4;-250;50;-200
"Subj_1";56;3;0;50;50
"Subj_1";57;4;0;50;50
